M84 , 0, CDS, 186.266, +12.887,   6.5,   5.8,  133, Seyfert_2, M  84, , , NGC  4374,,, 
M85 , 0, CDS, 186.350, +18.191,   7.8,   6.0,    ~, GinPair, M  85, , , NGC  4382,,, 
M86 , 0, CDS, 186.549, +12.946,  10.5,   7.6,  127, GinGroup, M  86, , , NGC  4406,,, 
M87 , 0, CDS, 187.706, +12.391,   9.1,   7.9,    ~, BClG, M  87, , , NGC  4486,,, 
M88 , 0, CDS, 187.996, +14.420,   7.8,   4.6,  138, Seyfert_2, M  88, , , NGC  4501,,, 
M89 , 0, CDS, 188.916, +12.556,   6.9,   6.5,    ~, LINER, M  89, , , NGC  4552,,, 
M90 , 0, CDS, 189.208, +13.163,   9.8,   4.4,   23, Seyfert_2, M  90, , , NGC  4569,,, 
M91 , 0, CDS, 188.860, +14.496,   5.4,   4.5,    ~, LINER, M  91, , , NGC  4548,,, 
M92 , 0, CDS, 259.281, +43.136,   2.2,   2.2,    0, GlCl, M  92, , , NGC  6341,,, 
M93 , 0, CDS, 116.141, -23.853,  24.2,  24.2,    0, OpCl, M  93, , , NGC  2447,,, Cl Collinder  160
M94 , 0, CDS, 192.721, +41.120,  11.5,  10.0,  105, Seyfert, M  94, , , NGC  4736,,, 
M95 , 0, CDS, 160.991, +11.704,   7.1,   4.3,   13, GinPair, M  95, , , NGC  3351,,, 
M96 , 0, CDS, 161.691, +11.820,   7.2,   4.8,    5, GinPair, M  96, , , NGC  3368,,, 
M97 , 0, CDS, 168.699, +55.019,   3.3,   3.3,   90, PN, M  97, , , NGC  3587,,, 
M98 , 0, CDS, 183.451, +14.901,   9.6,   2.3,  152, LINER, M  98, , , NGC  4192,,, 
M99 , 0, CDS, 184.707, +14.416,   5.1,   4.5,    ~, HII_G, M  99, , , NGC  4254,,, 
M100, 0, CDS, 185.729, +15.822,   7.6,   6.8,  170, AGN, M 100, , , NGC  4321,,, 
M101, 0, CDS, 210.802, +54.349,  21.9,  20.9,    ~, GinPair, M 101, , , NGC  5457,,, 
M102, 0, CDS, 226.623, +55.763,   6.3,   2.7,  128, Seyfert, M 102, , , NGC  5866,,, 
M103, 0, CDS, 023.339, +60.659,   7.4,   7.4,    0, OpCl, M 103, , , NGC   581,,, 
M104, 0, CDS, 189.998, -11.623,   8.5,   5.0,   90, LINER, M 104, , , NGC  4594,,, 
M105, 0, CDS, 161.957, +12.582,   5.1,   4.7,    ~, LINER, M 105, , , NGC  3379,,, 
M106, 0, CDS, 184.740, +47.304,  17.8,   6.9,    ~, Seyfert_2, M 106, , , NGC  4258,,, 
M107, 0, CDS, 248.133, -13.054,   5.4,   5.4,    0, GlCl, M 107, , , NGC  6171,,, 
M108, 0, CDS, 167.879, +55.674,   7.8,   2.7,   79, StarburstG, M 108, , , NGC  3556,,, 
M109, 0, CDS, 179.400, +53.375,   7.2,   4.8,   78, GinGroup, M 109, , , NGC  3992,,, 
M110, 0, CDS, 010.092, +41.685,  18.6,  10.5,  170, GinGroup, M 110, , , NGC   205,,, 
